,StationId,NUTS3
360,6515,Ústecký kraj
361,6603,Královéhradecký kraj
362,6604,Pardubický kraj
363,6614,Královéhradecký kraj
364,6616,Pardubický kraj
365,6617,Královéhradecký kraj
366,6701,Zlínský kraj
367,6711,Vysočina
368,6714,Jihomoravský kraj
369,6717,Vysočina
370,6721,Vysočina
371,6723,Jihomoravský kraj
372,6725,Vysočina
373,6732,Jihomoravský kraj
374,6738,Zlínský kraj
375,6740,Jihomoravský kraj
376,6741,Jihomoravský kraj
377,6742,Zlínský kraj
378,6743,Jihomoravský kraj
379,6744,Vysočina
380,6801,Olomoucký kraj
381,6802,Olomoucký kraj
382,6811,Olomoucký kraj
383,6813,Olomoucký kraj
384,6814,Olomoucký kraj
385,6815,Moravskoslezský kraj
